测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
tang,3,3,0,,49,415,329,86
byacc,4,4,0
flac,1,1,0
sanlock,8,8,0
netcf,1,0,1
qperf,1,0,1
dmidecode,1,0,1
patchutils,18,15,3
tog-pegasus,1,0,1
smoke-basic-os,263,213,50
binutils,8,8,0
rsync,2,2,0
nspr,2,2,0
libosinfo,4,1,3
openscap,7,4,3
crontabs,1,0,1
plymouth,11,10,1
sudo,1,1,0
poppler,1,1,0
valgrind,1,0,1
lmdb,1,1,0
libaec,1,1,0
mtx,5,0,5
acl,15,14,1
gdm,1,0,1
policycoreutils,4,3,1
keyutils,3,2,1
libcgroup,1,1,0
mariadb,3,3,0
libcap,9,9,0
openvpn,1,0,1
ipmitool,3,0,3
nss,1,1,0
gpm,1,1,0
glusterfs,5,5,0
dbus,2,1,1
vsftpd,2,2,0
fontconfig,1,0,1
libstoragemgmt,1,0,1
pigz,1,1,0
initial-setup,1,1,0
quota,2,0,2
rtkit,1,1,0
NetworkManager,5,5,0
open-isns,1,1,0
iputils,2,0,2
babeltrace,1,1,0
ypbind,1,1,0
cgdcbxd,1,1,0
